medica_name,category,category_label,purechain_url,image_url,image_filename,first_line_description,note
Glow BPC 157 10mg + GHK-CU 50mg + TB500 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/glow-ghk-cu-50mg-bpc-157-10mg-tb500-10mg/,https://purechainresearch.com/wp-content/uploads/2026/01/GLOWGHK-CU-BPC-157-TB500.png,Glow_BPC_157_10mg_+_GHK-CU_50mg_+_TB500_10mg.png,"""GLOW GHK-CU (50mg) / BPC-157 (10mg) / TB500 (10mg)"" (70mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match on purechain. Note: dose on the page may differ; verify before publishing.
Klow BPC 157 10mg + GHK-CU 50mg + TB500 10mg + KPV 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/klow-bpc-157-10mgghk-cu-50mgtb500-10mg-kpv-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Klow-BPC-157-10mgGHK-CU-50mgTB500-10mgKPV-10mg.png,Klow_BPC_157_10mg_+_GHK-CU_50mg_+_TB500_10mg_+_KPV_10mg.png,"""“Klow” BPC 157 10mg+GHK-CU 50mg+TB500 10mg+ KPV 10mg"" (80mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match on purechain.
2X Blend Tesamorelin 10mg + Ipamorelin 2mg,A,MISSING - needs to be ADDED to medicaplanet,,,,(not available on purechain),NOT FOUND on purechainresearch.com (specific blend doesn't exist). You could use the Tesamorelin (10mg) image at https://purechainresearch.com/wp-content/uploads/2025/12/Tesamorelin-2-300x300.png if you want a close visual.
ARA-290 14mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/ara-290-10-mg/,https://purechainresearch.com/wp-content/uploads/2025/12/ARA-290.png,ARA-290_14mg.png,"""ARA-290 10 mg"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Closest dose: purechain has 10mg (you want 14mg). Image is generic ARA-290.
BPC 5mg + TB 5mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/bpc-5mg-tb-5mg/,https://purechainresearch.com/wp-content/uploads/2025/12/BPC-5mg-TB-5mg.png,BPC_5mg_+_TB_5mg.png,"""BPC 5mg + TB 5mg"" (10mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
BPC-157 20mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/bpc-157-20mg/,https://purechainresearch.com/wp-content/uploads/2025/12/BPC-157.png,BPC-157_20mg.png,"""BPC-157 (20mg)"" (20 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match. Image is generic BPC-157 (used for 5/10/15/20mg variants).
Cagrilintide 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/cagrilintide-10mg/,https://purechainresearch.com/wp-content/uploads/2025/12/Cagrilintide.png,Cagrilintide_10mg.png,"""Cagrilintide (10mg)"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
CJC-1295 With DAC 10mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/cjc-1295-with-dac-5-mg/,https://purechainresearch.com/wp-content/uploads/2025/12/CJC-1295-With-DAC.png,CJC-1295_With_DAC_10mg.png,"""CJC-1295 With DAC 5 mg"" (5 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Closest dose: purechain only has 5mg (you want 10mg). Image is generic.
CJC-1295 without DAC 5mg + IPA 5mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/cjc-1295-no-dac-ipamorelin-5-mg-5-mg/,https://purechainresearch.com/wp-content/uploads/2025/12/CJC-1295-No-DAC-_-lpamorelin.png,CJC-1295_without_DAC_5mg_+_IPA_5mg.png,"""CJC-1295 No DAC / Ipamorelin 5 mg / 5 mg"" (10 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match (purechain spelling differs slightly).
GHK-Cu 50mg,A,MISSING - needs to be ADDED to medicaplanet,https://purechainresearch.com/product/ghk-cu-50mg/,https://purechainresearch.com/wp-content/uploads/2025/12/GHK-Cu.png,GHK-Cu_50mg.png,"""GHK-Cu (50mg)"" (50 mg) is a research-grade peptide supplied in lyophilized powder form for laboratory and investigational use.",Exact match.
